Issue Type,Summary,Description,Epic Link,Story Points,Priority,MVP,Sprint,Dependencies,Assignee Role
Story,Create Dimension Load Procedures,"Create ETL procedures to load dimensions with SCD Type 2 change tracking",Core Dimensional Model,13,Critical,Yes,2-3,"Create Core Dimension Tables,Build Multi-Source Transformation Procedures",Data Engineer
Story,Create Full Dimension ETL Pipeline,"Create orchestration procedures that execute full dimension pipeline from ODS to warehouse",Core Dimensional Model,8,Critical,Yes,3,Create Dimension Load Procedures,Data Engineer
Epic,Fact Tables & Metrics,"Create fact tables for evaluations and exam requests with multi-source ID mapping",,34,Critical,Yes,3,,Data Engineer
Story,Create Core Fact Tables,"Create fact_evaluations_completed and fact_exam_requests tables",Fact Tables & Metrics,13,Critical,Yes,3,Core Dimensional Model,Data Engineer
Story,Create Multi-Source Fact Transformation Procedures,"Create transformation procedures that map source IDs to master IDs using crosswalks",Fact Tables & Metrics,13,Critical,Yes,3,"Create Core Fact Tables,Build Entity Matching Procedures",Data Engineer
Story,Create Fact Load Procedures,"Create procedures to load fact tables from staging with surrogate key resolution",Fact Tables & Metrics,8,Critical,Yes,3,"Create Core Fact Tables,Create Multi-Source Fact Transformation Procedures",Data Engineer
Epic,ETL Orchestration & Automation,"Create master ETL orchestration and schedule automated jobs",,21,Critical,Yes,3,,Data Engineer
Story,Create Master ETL Orchestration Procedure,"Create master procedure that runs entire pipeline in correct sequence",ETL Orchestration & Automation,8,Critical,Yes,3,"Core Dimensional Model,Fact Tables & Metrics",Data Engineer
Story,Create Code Translation UDFs,"Create user-defined functions for code value translation",ETL Orchestration & Automation,5,High,Yes,3,Create Code Mapping Tables,Data Engineer
Story,Setup Scheduled ETL Jobs,"Schedule ETL to run automatically with failure alerting",ETL Orchestration & Automation,8,High,Yes,3,Create Master ETL Orchestration Procedure,DevOps Engineer
Epic,Data Quality & Lineage (Basic),"Implement basic data quality monitoring and lineage tracking",,21,Critical,Yes,3,,Data Engineer
Story,Create Reconciliation Log Table,"Create table to log conflicts between OMS and VEMS",Data Quality & Lineage (Basic),3,Critical,Yes,3,Create System of Record Configuration,Data Engineer
Story,Implement Conflict Logging in Transformations,"Add automatic conflict logging to transformation procedures",Data Quality & Lineage (Basic),5,High,Yes,3,"Create Reconciliation Log Table,Build Multi-Source Transformation Procedures",Data Engineer
Story,Create Basic Lineage Views,"Create views to trace data lineage from warehouse back to source systems",Data Quality & Lineage (Basic),8,High,Yes,3,Fact Tables & Metrics,Data Engineer
Story,Create Data Quality Dashboard Views,"Create views that summarize data quality metrics",Data Quality & Lineage (Basic),5,Medium,Yes,3,"Create Reconciliation Log Table,Implement Conflict Logging in Transformations",Data Analyst
Epic,Business Intelligence Marts,"Create pre-aggregated views for clinical and operational analytics",,21,Medium,No,4,,BI Developer
Story,Create Clinical Analytics Mart,"Create views for evaluator performance, exam request metrics, and QA analytics",Business Intelligence Marts,13,Medium,No,4,Fact Tables & Metrics,BI Developer
Story,Create Operational Analytics Mart,"Create views for facility performance and appointment lifecycle analytics",Business Intelligence Marts,8,Medium,No,4,Fact Tables & Metrics,BI Developer
Epic,Advanced Monitoring & Observability,"Implement comprehensive lineage queries and health check procedures",,13,Medium,No,4,,Data Engineer
Story,Create Comprehensive Lineage Queries,"Create detailed lineage queries and investigation procedures",Advanced Monitoring & Observability,5,Medium,No,4,Create Basic Lineage Views,Data Engineer
Story,Create Pipeline Health Check Procedure,"Create automated health check that validates pipeline status",Advanced Monitoring & Observability,5,Medium,No,4,Data Quality & Lineage (Basic),Data Engineer
Story,Setup Alerting and Notifications,"Configure automated alerts for pipeline issues",Advanced Monitoring & Observability,3,Low,No,4,Create Pipeline Health Check Procedure,DevOps Engineer
Epic,Documentation & Training,"Create technical documentation and conduct user training",,13,High,Partial,1-4,,Technical Writer
Story,Create Technical Documentation,"Create comprehensive architecture documentation and troubleshooting guides",Documentation & Training,5,High,Yes,1-4,"Staging Layer & Data Reconciliation,Core Dimensional Model,Fact Tables & Metrics",Technical Writer
Story,Create Interactive User Guide,"Create easy-to-understand HTML guide for business users",Documentation & Training,3,Medium,No,4,Create Technical Documentation,Technical Writer
Story,Conduct Training Sessions,"Prepare materials and conduct training for analysts, developers, and stakeholders",Documentation & Training,5,High,Partial,4,"Create Technical Documentation,Create Interactive User Guide",Business Analyst
