table_name,column_name,data_type,is_primary_key,is_foreign_key,is_business_key,is_scd_attribute,is_measure,column_order,description
dim_medical_conditions,body_system,VARCHAR(100),FALSE,FALSE,FALSE,FALSE,FALSE,5,Affected body system
dim_medical_conditions,dbq_form_number,VARCHAR(20),FALSE,FALSE,FALSE,FALSE,FALSE,6,DBQ form number
dim_claims,claim_sk,INTEGER,TRUE,FALSE,FALSE,FALSE,FALSE,1,Surrogate primary key
dim_claims,claim_id,VARCHAR(50),FALSE,FALSE,TRUE,FALSE,FALSE,2,Business key
dim_claims,claim_number,VARCHAR(50),FALSE,FALSE,FALSE,FALSE,FALSE,3,Claim number
dim_claims,claim_type,VARCHAR(50),FALSE,FALSE,FALSE,FALSE,FALSE,4,Type of claim
dim_claims,claim_status,VARCHAR(50),FALSE,FALSE,FALSE,FALSE,FALSE,5,Current claim status
dim_claims,effective_start_date,TIMESTAMP_NTZ,FALSE,FALSE,FALSE,TRUE,FALSE,6,Start date when this version became effective
dim_claims,is_current,BOOLEAN,FALSE,FALSE,FALSE,TRUE,FALSE,7,TRUE if this is the current active version
dim_appointments,appointment_sk,INTEGER,TRUE,FALSE,FALSE,FALSE,FALSE,1,Surrogate primary key
dim_appointments,appointment_id,VARCHAR(50),FALSE,FALSE,TRUE,FALSE,FALSE,2,Business key
dim_appointments,appointment_type,VARCHAR(100),FALSE,FALSE,FALSE,FALSE,FALSE,3,Type of appointment
dim_appointments,visit_type,VARCHAR(50),FALSE,FALSE,FALSE,FALSE,FALSE,4,Visit type (in-person telehealth)
dim_appointments,scheduled_duration_minutes,INTEGER,FALSE,FALSE,FALSE,FALSE,FALSE,5,Scheduled duration in minutes
fact_evaluations_completed,evaluation_fact_sk,INTEGER,TRUE,FALSE,FALSE,FALSE,FALSE,1,Fact table primary key
fact_evaluations_completed,veteran_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,2,Foreign key to dim_veterans
fact_evaluations_completed,evaluator_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,3,Foreign key to dim_evaluators
fact_evaluations_completed,facility_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,4,Foreign key to dim_facilities
fact_evaluations_completed,evaluation_type_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,5,Foreign key to dim_evaluation_types
fact_evaluations_completed,medical_condition_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,6,Foreign key to dim_medical_conditions
fact_evaluations_completed,claim_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,7,Foreign key to dim_claims
fact_evaluations_completed,appointment_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,8,Foreign key to dim_appointments
fact_evaluations_completed,evaluation_date_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,9,Foreign key to dim_dates
fact_evaluations_completed,evaluation_duration_minutes,INTEGER,FALSE,FALSE,FALSE,FALSE,TRUE,10,Actual evaluation duration
fact_evaluations_completed,report_completeness_score,DECIMAL(5,2),FALSE,FALSE,FALSE,FALSE,TRUE,11,Report quality score (0-100)
fact_evaluations_completed,disability_rating_percentage,INTEGER,FALSE,FALSE,FALSE,FALSE,TRUE,12,Recommended disability rating
fact_evaluations_completed,evaluation_cost,DECIMAL(10,2),FALSE,FALSE,FALSE,FALSE,TRUE,13,Cost of evaluation
fact_claim_status_changes,claim_status_fact_sk,INTEGER,TRUE,FALSE,FALSE,FALSE,FALSE,1,Fact table primary key
fact_claim_status_changes,veteran_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,2,Foreign key to dim_veterans
fact_claim_status_changes,claim_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,3,Foreign key to dim_claims
fact_claim_status_changes,facility_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,4,Foreign key to dim_facilities
fact_claim_status_changes,claim_received_date_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,5,Foreign key to dim_dates
fact_claim_status_changes,exam_scheduled_date_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,6,Foreign key to dim_dates
fact_claim_status_changes,exam_completed_date_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,7,Foreign key to dim_dates
fact_claim_status_changes,rating_decision_date_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,8,Foreign key to dim_dates
fact_claim_status_changes,days_to_schedule,INTEGER,FALSE,FALSE,FALSE,FALSE,TRUE,9,Days from receipt to scheduled
fact_claim_status_changes,days_to_complete_exam,INTEGER,FALSE,FALSE,FALSE,FALSE,TRUE,10,Days from scheduled to completed
fact_claim_status_changes,total_cycle_time_days,INTEGER,FALSE,FALSE,FALSE,FALSE,TRUE,11,Total days from receipt to decision
fact_appointments_scheduled,appointment_fact_sk,INTEGER,TRUE,FALSE,FALSE,FALSE,FALSE,1,Fact table primary key
fact_appointments_scheduled,veteran_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,2,Foreign key to dim_veterans
fact_appointments_scheduled,evaluator_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,3,Foreign key to dim_evaluators
fact_appointments_scheduled,facility_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,4,Foreign key to dim_facilities
fact_appointments_scheduled,evaluation_type_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,5,Foreign key to dim_evaluation_types
fact_appointments_scheduled,appointment_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,6,Foreign key to dim_appointments
fact_appointments_scheduled,claim_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,7,Foreign key to dim_claims
fact_appointments_scheduled,appointment_date_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,8,Foreign key to dim_dates
fact_appointments_scheduled,actual_duration_minutes,INTEGER,FALSE,FALSE,FALSE,FALSE,TRUE,9,Actual appointment duration
fact_appointments_scheduled,wait_time_days,INTEGER,FALSE,FALSE,FALSE,FALSE,TRUE,10,Days between request and appointment
fact_appointments_scheduled,veteran_satisfaction_score,INTEGER,FALSE,FALSE,FALSE,FALSE,TRUE,11,Veteran satisfaction rating (1-5)
fact_appointments_scheduled,travel_distance_miles,DECIMAL(8,2),FALSE,FALSE,FALSE,FALSE,TRUE,12,Distance traveled to appointment
fact_daily_facility_snapshot,daily_snapshot_sk,INTEGER,TRUE,FALSE,FALSE,FALSE,FALSE,1,Fact table primary key
fact_daily_facility_snapshot,facility_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,2,Foreign key to dim_facilities
fact_daily_facility_snapshot,snapshot_date_sk,INTEGER,FALSE,TRUE,FALSE,FALSE,FALSE,3,Foreign key to dim_dates
fact_daily_facility_snapshot,scheduled_appointments_count,INTEGER,FALSE,FALSE,FALSE,FALSE,TRUE,4,Number of scheduled appointments
fact_daily_facility_snapshot,completed_evaluations_count,INTEGER,FALSE,FALSE,FALSE,FALSE,TRUE,5,Number of completed evaluations
fact_daily_facility_snapshot,cancelled_appointments_count,INTEGER,FALSE,FALSE,FALSE,FALSE,TRUE,6,Number of cancelled appointments
fact_daily_facility_snapshot,average_wait_time_days,DECIMAL(8,2),FALSE,FALSE,FALSE,FALSE,TRUE,7,Average wait time in days
fact_daily_facility_snapshot,facility_utilization_rate,DECIMAL(5,2),FALSE,FALSE,FALSE,FALSE,TRUE,8,Utilization rate percentage
